,address,city,country,currency,cusip,description,employeeTotal,exchange,finnhubIndustry,ggroup,gind,gsector,gsubind,ipo,isin,logo,marketCapitalization,naics,naicsNationalIndustry,naicsSector,naicsSubsector,name,phone,sedol,shareOutstanding,state,ticker,weburl
0,383 Madison Ave,New York City,US,USD,46625H100,"JPMorgan Chase & Co. is a financial holding company. The company is headquartered in New York City, New York and currently employs 257,444 full-time employees. The firm is engaged in investment banking, financial services. The company operates in four segments, as well as a Corporate segment. Its segments are Consumer & Community Banking, Corporate & Investment Bank, Commercial Banking and Asset Management. The Consumer & Community Banking segment offers services to consumers and businesses through bank branches, automatic teller machines (ATMs), online, mobile and telephone banking. The Corporate & Investment Bank segment, comprising Banking and Markets & Investor Services, offers investment banking, market-making, prime brokerage, and treasury and securities products and services to corporations, investors, financial institutions, and government and municipal entities. The Commercial Banking segment provides financial solutions, including lending, treasury services, investment banking and asset management. The Asset Management segment comprises investment and wealth management.",256720,"NEW YORK STOCK EXCHANGE, INC.",Banking,Banks,Banks,Financials,Diversified Banks,1969-03-05,US46625H1005,https://static.finnhub.io/logo/0bf9570a-80ec-11ea-9e21-00000000092a.png,315488.0,Securities and Commodity Contracts Intermediation and Brokerage,Investment Banking and Securities Dealing,Finance and Insurance,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",JPMorgan Chase & Co,12122706000,2190385,3047.604487,NEW YORK,JPM,https://www.jpmorganchase.com/
0,1 Microsoft Way,Redmond,US,USD,594918104,"Microsoft Corp. engages in the development and support of software, services, devices, and solutions. The company is headquartered in Redmond, Washington and currently employs 144,000 full-time employees. The firm develops, licenses, and supports a range of software products, services and devices. The firm's segments include Productivity and Business Processes, Intelligent Cloud and More Personal Computing. The firm's products include operating systems; cross-device productivity applications; server applications; business solution applications; desktop and server management tools; software development tools; video games, and training and certification of computer system integrators and developers. The company also designs, manufactures, and sells devices, including personal computers (PCs), tablets, gaming and entertainment consoles, phones, other intelligent devices, and related accessories, that integrate with its cloud-based offerings. The company offers an array of services, including cloud-based solutions that provide customers with software, services, platforms, and content, and it provides solution support and consulting services.",144000,NASDAQ NMS - GLOBAL MARKET,Technology,Software & Services,Software,Information Technology,Systems Software,1986-03-13,US5949181045,,1621370.0,Software Publishers,Software Publishers,Information,Publishing Industries (except Internet),Microsoft Corp,14258828080,2588173,7567.652935,WASHINGTON,MSFT,https://www.microsoft.com/en-us
0,1 Amgen Center Dr,Thousand Oaks,US,USD,031162100,"Amgen, Inc. is a biotechnology company, which engages in the discovery, development, manufacture and marketing of human therapeutics. The company is headquartered in Thousand Oaks, California and currently employs 21,500 full-time employees. The firm discovers, develops, manufactures and delivers various human therapeutics. The company operates in human therapeutics segment. Its marketed products portfolio includes Neulasta (pegfilgrastim); erythropoiesis-stimulating agents (ESAs), such as Aranesp (darbepoetin alfa) and EPOGEN (epoetin alfa); Sensipar/Mimpara (cinacalcet); XGEVA (denosumab); Prolia (denosumab); NEUPOGEN (filgrastim), and other marketed products, such as KYPROLIS (carfilzomib), Vectibix (panitumumab), Nplate (romiplostim), Repatha (evolocumab), BLINCYTO (blinatumomab), IMLYGIC (talimogene laherparepvec) and Corlanor (ivabradine). The company focuses on human therapeutics for the treatment of serious illness in the areas of oncology/hematology, cardiovascular disease and neuroscience. Its product candidates in Phase III include Erenumab for episodic migraine, Aranesp for myelodysplastic syndromes, BLINCYTO for acute lymphoblastic leukemia and IMLYGIC for metastatic melanoma.",23400,NASDAQ NMS - GLOBAL MARKET,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Health Care,Biotechnology,1987-05-01,US0311621009,,145486.3,Scientific Research and Development Services,Research and Development in Biotechnology,"Professional, Scientific, and Technical Services","Professional, Scientific, and Technical Services",Amgen Inc,18054471000,2023607,585.693775,CALIFORNIA,AMGN,http://www.amgen.com
0,170 W Tasman Dr,San Jose,US,USD,17275R102,"Cisco Systems, Inc. engages in the design, manufacture, and sale of Internet Protocol based networking products and services related to the communications and information technology industry. The company is headquartered in San Jose, California and currently employs 75,900 full-time employees. The company operates through three geographic segments: Americas; Europe, Middle East, and Africa; and Asia Pacific, Japan, and China. Its product and technologies includes infrastructure platforms; applications; security and other products. The company also offers technical support services and advanced services. Infrastructure Platforms consists of its core networking technologies of switching, routing, data center products and wireless that are designed to work together to deliver networking capabilities and transport and store data. Application product category consists primarily of software-related offerings that utilize the core networking and data center platforms to provide their functions. Security product category primarily includes Company’s unified threat management products, advanced threat security products, and web security products.",75900,NASDAQ NMS - GLOBAL MARKET,Communications,Technology Hardware & Equipment,Communications Equipment,Information Technology,Communications Equipment,1990-02-01,US17275R1023,https://static.finnhub.io/logo/ca223cac-80df-11ea-a99c-00000000092a.png,172808.4,Communications Equipment Manufacturing,Telephone Apparatus Manufacturing,Manufacturing,Computer and Electronic Product Manufacturing,Cisco Systems Inc,14085264000,2198163,4233.425297,CALIFORNIA,CSCO,https://www.cisco.com/
0,200 Vesey St Fl 50,New York City,US,USD,025816109,"American Express Co. engages in the provision of charge and credit card products, and travel-related services. The company is headquartered in New York City, New York and currently employs 59,000 full-time employees. The firm's principal products and services are charge and credit card products, and travel-related services offered to consumers and businesses around the world. The firm's segments include the Global Consumer Services Group (GCSG), Global Merchant and Network Services (GMNS), and Global Commercial Services (GCS). The firm's range of products and services includes network services; merchant acquisition and processing, servicing and settlement, and point-of-sale marketing and information products and services for merchants; other fee services, including fraud prevention services and the design and operation of customer loyalty programs; expense management products and services, and stored value/prepaid products.",59000,"NEW YORK STOCK EXCHANGE, INC.",Financial Services,Diversified Financials,Consumer Finance,Financials,Consumer Finance,1977-05-18,US0258161092,https://static.finnhub.io/logo/7c511c66-80eb-11ea-83d7-00000000092a.png,85081.38,Nondepository Credit Intermediation,Credit Card Issuing,Finance and Insurance,Credit Intermediation and Related Activities,American Express Co,12126402000,2026082,805.161121,NEW YORK,AXP,https://www.americanexpress.com
0,702 SW 8th St,Bentonville,US,USD,931142103,"Walmart, Inc. engages in retail and wholesale business. The company is headquartered in Bentonville, Arkansas and currently employs 2,200,000 full-time employees. The firm offers an assortment of merchandise and services at everyday low prices (EDLP). The firm operates through three segments: Walmart U.S., Walmart International and Sam's Club. The Walmart U.S. segment includes the Company's mass merchant concept in the United States operating under the Walmart brands, as well as digital retail. The Walmart International segment consists of the Company's operations outside of the United States, including various retail Websites. The Sam's Club segment includes the warehouse membership clubs in the United States, as well as samsclub.com. The firm operates approximately 11,600 stores under 59 banners in 28 countries and e-commerce Websites in 11 countries.",2200000,"NEW YORK STOCK EXCHANGE, INC.",Retail,Food & Staples Retailing,Food & Staples Retailing,Consumer Staples,Hypermarkets & Super Centers,1972-08-25,US9311421039,,404744.9,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,Retail Trade,Food and Beverage Stores,Walmart Inc,14792734000,2936921,2833.752938,ARKANSAS,WMT,https://corporate.walmart.com
0,1 Apple Park Way,Cupertino,US,USD,037833100,"Apple, Inc. engages in the design, manufacture, and sale of smartphones, personal computers, tablets, wearables and accessories, and other variety of related services. The company is headquartered in Cupertino, California and currently employs 137,000 full-time employees. The company is considered one of the Big Four technology companies, alongside Amazon, Google, and Microsoft. The firm's hardware products include the iPhone smartphone, the iPad tablet computer, the Mac personal computer, the iPod portable media player, the Apple Watch smartwatch, the Apple TV digital media player, the AirPods wireless earbuds and the HomePod smart speaker. Apple's software includes the macOS, iOS, iPadOS, watchOS, and tvOS operating systems, the iTunes media player, the Safari web browser, the Shazam acoustic fingerprint utility, and the iLife and iWork creativity and productivity suites, as well as professional applications like Final Cut Pro, Logic Pro, and Xcode. Its online services include the iTunes Store, the iOS App Store, Mac App Store, Apple Music, Apple TV+, iMessage, and iCloud. Other services include Apple Store, Genius Bar, AppleCare, Apple Pay, Apple Pay Cash, and Apple Card.",137000,NASDAQ NMS - GLOBAL MARKET,Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals",Information Technology,"Technology Hardware, Storage & Peripherals",1980-12-12,US0378331005,https://static.finnhub.io/logo/87cb30d8-80df-11ea-8951-00000000092a.png,2068723.0,Communications Equipment Manufacturing,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,Manufacturing,Computer and Electronic Product Manufacturing,Apple Inc,14089961010,2046251,17102.536,CALIFORNIA,AAPL,https://www.apple.com/
0,2000 Galloping Hill Rd,Kenilworth,US,USD,58933Y105,"Merck & Co., Inc. engages in the provision of health solutions through its prescription medicines, vaccines, biologic therapies, animal health, and consumer care products. The company is headquartered in Kenilworth, New Jersey and currently employs 69,000 full-time employees. The firm offers health solutions through its prescription medicines, vaccines, biologic therapies and animal health products. The company operates through four segments: Pharmaceutical, Animal Health, Healthcare Services and Alliances. The firm's Pharmaceutical segment includes human health pharmaceutical and vaccine products marketed either directly by the Company or through joint ventures. Human health pharmaceutical products consist of therapeutic and preventive agents, generally sold by prescription, for the treatment of human disorders. The firm sells its human health pharmaceutical products primarily to drug wholesalers and retailers, hospitals, government agencies and managed healthcare providers, such as health maintenance organizations, pharmacy benefit managers and other institutions. Vaccine products consist of preventive pediatric, adolescent and adult vaccines, primarily administered at physician offices.",71000,"NEW YORK STOCK EXCHANGE, INC.",Pharmaceuticals,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Health Care,Pharmaceuticals,1946-06-15,US58933Y1055,https://static.finnhub.io/logo/2eedcaa6-80ec-11ea-853f-00000000092a.png,215592.5,Pharmaceutical and Medicine Manufacturing,Pharmaceutical Preparation Manufacturing,Manufacturing,Chemical Manufacturing,Merck & Co Inc,19087404000,2778844,2529.24107,NEW JERSEY,MRK,http://www.merck.com/
0,9900 Bren Rd E,Hopkins,US,USD,91324P102,"UnitedHealth Group, Inc. engages in the provision of health care coverage, software, and data consultancy services. The company is headquartered in Hopkins, Minnesota and currently employs 300,000 full-time employees. The firm operates through four segments: UnitedHealthcare, OptumHealth, OptumInsight and OptumRx. The company conducts its operations through two business platforms: health benefits operating under UnitedHealthcare and health services operating under Optum. UnitedHealthcare provides healthcare benefits to an array of customers and markets, and includes UnitedHealthcare Employer & Individual, UnitedHealthcare Medicare & Retirement, UnitedHealthcare Community & State, and UnitedHealthcare Global businesses. Optum is a health services business serving the healthcare marketplace, including payers, care providers, employers, governments, life sciences companies and consumers, through its OptumHealth, OptumInsight and OptumRx businesses. OptumInsight provides services, technology and healthcare solutions to participants in the healthcare industry. OptumRx provides retail network contracting, purchasing and clinical solutions.",325000,"NEW YORK STOCK EXCHANGE, INC.",Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care,Managed Health Care,1984-10-17,US91324P1021,https://static.finnhub.io/logo/91f38836-80ec-11ea-a5be-00000000092a.png,296504.8,Insurance Carriers,Direct Health and Medical Insurance Carriers,Finance and Insurance,Insurance Carriers and Related Activities,UnitedHealth Group Inc,19529361300,2917766,950.335762,MINNESOTA,UNH,http://www.unitedhealthgroup.com/
0,PO Box 8999,San Francisco,US,USD,92826C839,"Visa, Inc. engages in the provision of digital payment services. The company is headquartered in San Francisco, California and currently employs 19,500 full-time employees. The firm operates through payment services segment. The firm enables global commerce through the transfer of value and information among the participants. The firm's transaction processing network facilitates authorization, clearing and settlement of payment transactions and enables to provide its financial institution and merchant clients a range of products, platforms and value-added services. The firm is a retail electronic payment network based on payments volume, number of transactions and number of cards in circulation. Its products/services include core products, processing infrastructure, transaction processing services, digital products, merchant products, and risk products and payment security initiatives.",19500,"NEW YORK STOCK EXCHANGE, INC.",Technology,Software & Services,IT Services,Information Technology,Data Processing & Outsourced Services,2008-03-19,US92826C8394,https://static.finnhub.io/logo/96a1dba6-80ec-11ea-8ab6-00000000092a.png,435488.9,Activities Related to Credit Intermediation,"Financial Transactions Processing, Reserve, and Clearinghouse Activities",Finance and Insurance,Credit Intermediation and Related Activities,Visa Inc,16504323200,B2PZN04,2375.0973078730003,CALIFORNIA,V,https://usa.visa.com/
