,address,city,country,currency,cusip,description,employeeTotal,exchange,finnhubIndustry,ggroup,gind,gsector,gsubind,ipo,isin,logo,marketCapitalization,naics,naicsNationalIndustry,naicsSector,naicsSubsector,name,phone,sedol,shareOutstanding,state,ticker,weburl
0,"6800 Cintas Blvd, PO Box 625737",Cincinnati,US,USD,172908105,"Cintas Corp. engages in the provision of corporate identity uniform through rental and sales programs. The company is headquartered in Cincinnati, Ohio and currently employs 45,000 full-time employees. Its segments include uniform rental and facility services, and first aid and safety services. Its uniform rental and facility service segment offers services, which include rental and servicing of uniforms and other garments, including flame resistant clothing, mats, mops and shop towels, and other ancillary items. Its first aid and safety service segment offers services, which include first aid and safety products and services. Rental processing plants, rental branches, first aid and safety facilities, fire protection facilities, direct sales offices, distribution centers and manufacturing facilities are all utilized by the businesses included in All Other.",45000,NASDAQ NMS - GLOBAL MARKET,Commercial Services & Supplies,Commercial  & Professional Services,Commercial Services & Supplies,Industrials,Diversified Support Services,1983-01-01,US1729081059,https://static.finnhub.io/logo/cb889e02-80df-11ea-80b6-00000000092a.png,34269.56,Drycleaning and Laundry Services,Linen Supply,Other Services (except Public Administration),Personal and Laundry Services,Cintas Corp,15134591200,2197137,103.499012,OHIO,CTAS,https://www.cintas.com/
0,410 Terry Ave N,Seattle,US,USD,023135106,"Amazon.com, Inc. engages in the provision of online retail shopping services. The company is headquartered in Seattle, Washington and currently employs 750,000 full-time employees. The firm's products include merchandise and content that it purchases for resale from vendors and those offered by third-party sellers. The company also manufactures and sells electronic devices. The company operates through three segments: North America, International and Amazon Web Services (AWS). Its AWS products include analytics, Amazon Athena, Amazon CloudSearch, Amazon EMR, Amazon Elasticsearch Service, Amazon Kinesis, Amazon Managed Streaming for Apache Kafka, Amazon Redshift, Amazon QuickSight, AWS Data Pipeline, AWS Glue and AWS Lake Formation. AWS solutions include machine learning, analytics and data lakes, Internet of Things, serverless computing, containers, enterprise applications, and storage. In addition, the Company provides services, such as advertising. The company also offers Amazon Prime, a membership program that includes free shipping, access to streaming of various movies and television (TV) episodes.",840400,NASDAQ NMS - GLOBAL MARKET,Retail,Retailing,Internet & Direct Marketing Retail,Consumer Discretionary,Internet & Direct Marketing Retail,1997-05-01,US0231351067,https://static.finnhub.io/logo/967bf7b0-80df-11ea-abb4-00000000092a.png,1650241.0,Electronic Shopping and Mail-Order Houses,Electronic Shopping,Retail Trade,Nonstore Retailers,Amazon.com Inc,12062661000,2000019,500.889651,WASHINGTON,AMZN,http://www.amazon.com/
0,777 Old Saw Mill River Rd,Tarrytown,US,USD,75886F107,"Regeneron Pharmaceuticals, Inc. is a biotechnology company, which engages in the discovery, invention, development, manufacture, and commercialization of medicines. The company is headquartered in Tarrytown, New York and currently employs 7,400 full-time employees. The firm commercializes medicines for eye diseases, high low-density lipoprotein (LDL) cholesterol, and an inflammatory condition and have product candidates in development in other areas, including rheumatoid arthritis, asthma, atopic dermatitis, pain, cancer, and infectious diseases. The firm's marketed products include EYLEA (aflibercept) Injection, Praluent (alirocumab) Injection, ARCALYST (rilonacept) Injection for Subcutaneous Use, Kevzara (sarilumab) Solution for Subcutaneous Injection and ZALTRAP (ziv-aflibercept) Injection for Intravenous Infusion. As of December 31, 2016, the Company had 16 product candidates in clinical development, which consisted of a Trap-based clinical program and 15 fully human monoclonal antibody product candidates.",8100,NASDAQ NMS - GLOBAL MARKET,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Health Care,Biotechnology,1991-01-01,US75886F1075,https://static.finnhub.io/logo/94aceb0a-80e0-11ea-a230-00000000092a.png,61745.89,Scientific Research and Development Services,"Research and Development in the Physical, Engineering, and Life Sciences (except Biotechnology)","Professional, Scientific, and Technical Services","Professional, Scientific, and Technical Services",Regeneron Pharmaceuticals Inc,19148477000,2730190,106.392394,NEW YORK,REGN,https://www.regeneron.com/
0,1000 Remington Blvd Ste 120,Bolingbrook,US,USD,90384S303,"Ulta Beauty, Inc. is a beauty retailer of cosmetics, fragrance, skin care and hair care products. The company is headquartered in Bolingbrook, Illinois and currently employs 16,000 full-time employees. The firm is a beauty retailer. The firm offers cosmetics, fragrance, skin, hair care products and salon services. The firm offers approximately 20,000 products from over 500 beauty brands across all categories, including the Company’s own private label. The firm also offers a full-service salon in every store featuring hair, skin and brow services. The firm operates approximately 970 retail stores across over 48 states and the District of Columbia and also distributes its products through its Website, which includes a collection of tips, tutorials and social content. The firm offers makeup products, such as foundation, face powder, concealer, color correcting, face primer, blush, bronzer, contouring, highlighter, setting spray, shampoos, conditioners, hair styling products, hair styling tools and perfumes. The firm also offers makeup brushes and tools, and makeup bags and cases.",18000,NASDAQ NMS - GLOBAL MARKET,Retail,Retailing,Specialty Retail,Consumer Discretionary,Specialty Stores,2007-10-25,US90384S3031,https://static.finnhub.io/logo/d10866ba-80e0-11ea-9adf-00000000092a.png,13546.27,Health and Personal Care Stores,"Cosmetics, Beauty Supplies, and Perfume Stores",Retail Trade,Health and Personal Care Stores,Ulta Beauty Inc,16304104800,B28TS42,56.323104,ILLINOIS,ULTA,http://www.ulta.com/
0,3050 Bowers Ave,Santa Clara,US,USD,038222105,"Applied Materials, Inc. engages in the provision of materials engineering solutions used to produce new chip and advanced display. The company is headquartered in Santa Clara, California and currently employs 22,000 full-time employees. The firm's segments are Semiconductor Systems, which includes semiconductor capital equipment for etch, rapid thermal processing, deposition, chemical mechanical planarization, metrology and inspection, wafer packaging, and ion implantation; Applied Global Services, which provides integrated solutions to optimize equipment and fab performance and productivity; Display and Adjacent Markets, which includes products for manufacturing liquid crystal displays, organic light-emitting diodes, upgrades and roll-to-roll Web coating systems and other display technologies for televisions, personal computers, smart phones and other consumer-oriented devices, and Corporate and Other segment, which includes revenues from products, as well as costs of products sold for fabricating solar photovoltaic cells and modules, and certain operating expenses.",22000,NASDAQ NMS - GLOBAL MARKET,Semiconductors,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Information Technology,Semiconductor Equipment ,1972-10-05,US0382221051,https://static.finnhub.io/logo/907771b0-80df-11ea-848b-00000000092a.png,55673.72,Industrial Machinery Manufacturing,Semiconductor Machinery Manufacturing,Manufacturing,Machinery Manufacturing,Applied Materials Inc,14085635300,2046552,913.0,CALIFORNIA,AMAT,http://www.appliedmaterials.com/
0,500 Frank W Burr Blvd,Teaneck,US,USD,192446102,"Cognizant Technology Solutions Corp. engages in the provision of information technology, consulting, and business process outsourcing services. The company is headquartered in Teaneck, New Jersey and currently employs 289,900 full-time employees. The firm operates through four segments: Financial Services, Healthcare, Manufacturing/Retail/Logistics, and Other. The Financial Services segment includes customers providing banking/transaction processing, capital markets and insurance services. The Healthcare segment includes healthcare providers and payers, as well as life sciences customers, including pharmaceutical, biotech and medical device companies. The Manufacturing/Retail/Logistics segment includes manufacturers, retailers, travel and other hospitality customers, as well as customers providing logistics services. The Other segment includes its information, media and entertainment services, communications and high technology operating segments. Its services include consulting and technology services and outsourcing services. Its outsourcing services include application maintenance, IT infrastructure services and business process services.",291700,NASDAQ NMS - GLOBAL MARKET,Technology,Software & Services,IT Services,Information Technology,IT Consulting & Other Services,1998-06-24,US1924461023,https://static.finnhub.io/logo/cad080be-80df-11ea-8b33-00000000092a.png,36227.11,Computer Systems Design and Related Services,Custom Computer Programming Services,"Professional, Scientific, and Technical Services","Professional, Scientific, and Technical Services",Cognizant Technology Solutions Corp,12018010233,2257019,542.240742,NEW JERSEY,CTSH,https://www.cognizant.com/
0,2700 Coast Ave,Mountain View,US,USD,461202103,"Intuit, Inc. engages in the provision of business and financial management solutions. The company is headquartered in Mountain View, California and currently employs 9,400 full-time employees. The firm operates through three segments: Small Business, Consumer Tax and ProConnect. The Small Business segment serves and advises small businesses and the accounting professionals, and includes QuickBooks financial and business management online services and desktop software, payroll solutions, and payment processing solutions. The Small Business segment also includes third-party applications that integrate with the Company's offerings. The Consumer Tax segment targets consumers and includes TurboTax products and services, which enable individuals to prepare and file their own federal and state personal income tax returns. The ProConnect segment targets professional accountants in the United States and Canada. Its ProConnect professional tax offerings include Lacerte, ProSeries, ProFile and ProConnect Tax Online.",9400,NASDAQ NMS - GLOBAL MARKET,Technology,Software & Services,Software,Information Technology,Application Software,1993-03-12,US4612021034,https://static.finnhub.io/logo/e055e73a-80e0-11ea-9003-00000000092a.png,87210.6,Software Publishers,Software Publishers,Information,Publishing Industries (except Internet),Intuit Inc,16509446000,2459020,261.807204,CALIFORNIA,INTU,https://www.intuit.com/
0,1 Idexx Dr,Westbrook,US,USD,45168D104,"IDEXX Laboratories, Inc. engages in the development, manufacture, and distribution of products and services for the animal veterinary, livestock and poultry, dairy and water testing markets. The company is headquartered in Westbrook, Maine and currently employs 8,377 full-time employees. The firm also sells a line of portable electrolytes and blood gas analyzers for the human point-of-care medical diagnostics market. Its segments include diagnostic and information technology-based products and services for the veterinary market, which the Company refers to as the Companion Animal Group; water quality products; diagnostic products and services for livestock and poultry health, which the Company refers to as Livestock, Poultry and Dairy, and Other operating segment, which combines and presents products for the human point-of-care medical diagnostics market with its pharmaceutical product line and its out-licensing arrangements. Its products and services include point-of-care veterinary diagnostic products, comprising instruments, consumables and rapid assay test kits, among others.",9200,NASDAQ NMS - GLOBAL MARKET,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care,Health Care Equipment,1991-06-21,US45168D1046,https://static.finnhub.io/logo/23dad152-80e0-11ea-96f5-00000000092a.png,31526.37,"Other Professional, Scientific, and Technical Services",Veterinary Services,"Professional, Scientific, and Technical Services","Professional, Scientific, and Technical Services",IDEXX Laboratories Inc,12075560300,2459202,85.054677,MAINE,IDXX,https://www.idexx.com/
0,160 RIO ROBLES,San Jose,US,USD,57772K101,"Maxim Integrated Products, Inc. engages in the design, development, manufacture, and marketing of linear and mixed-signal integrated circuits. The company is headquartered in San Jose, California and currently employs 7,131 full-time employees. The firm also provides a range of high-frequency process technologies and capabilities for use in custom designs. The firm caters to automotive, communications and data center, computing, consumer and industrial markets. The company offers a range of products, such as switching regulators, battery management, isolated power, charge pumps, linear regulators, light emitting diode (LED) drivers, motor driver integrated circuits (ICs), monitors and sequencers, transceivers, controllers and expanders, level translators, signal line protection ICs, broadband switches, powerline communications, real-time clocks, embedded security, microcontrollers, 1-Wire, iButton, data loggers, clock generation and distribution, memory products, optical, signal integrity, high-speed signaling, and display power and control.",7131,NASDAQ NMS - GLOBAL MARKET,Semiconductors,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Information Technology,Semiconductors,1994-01-01,US57772K1016,https://static.finnhub.io/logo/6acc5b00-829d-11ea-a25b-00000000092a.png,18316.63,Semiconductor and Other Electronic Component Manufacturing,Semiconductor and Related Device Manufacturing,Manufacturing,Computer and Electronic Product Manufacturing,Maxim Integrated Products Inc,14086011000,2573760,266.695209,CALIFORNIA,MXIM,https://www.maximintegrated.com/en.html
0,2100 LOGIC DR,San Jose,US,USD,983919101,"Xilinx, Inc. engages in the design and development of programmable logic semiconductor devices and the related software design tools. The company is headquartered in San Jose, California and currently employs 4,433 full-time employees. The firm's programmable devices and associated technologies include integrated circuits (ICs) in the form of programmable logic devices (PLDs), including programmable System on Chips (SoCs) and three-dimensional ICs (3D ICs); software design tools to program the PLDs; targeted reference designs; printed circuit boards, and intellectual property (IP), which consists of Xilinx, and various third-party verification and IP cores. The firm provides design services, customer training, field engineering and technical support. Its PLDs include field programmable gate arrays (FPGAs), complex programmable logic devices (CPLDs) that its customers program to perform desired logic functions, and programmable SoCs, which combine (Advanced reduced instruction set computing (RISC) Machines (ARM)) processor-based systems with programmable logic in a single device.",4891,NASDAQ NMS - GLOBAL MARKET,Semiconductors,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Information Technology,Semiconductors,1990-06-01,US9839191015,https://static.finnhub.io/logo/2e390bb6-80e1-11ea-a7c7-00000000092a.png,24832.07,Semiconductor and Other Electronic Component Manufacturing,Semiconductor and Related Device Manufacturing,Manufacturing,Computer and Electronic Product Manufacturing,Xilinx Inc,14085597778,2985677,244.314,CALIFORNIA,XLNX,https://www.xilinx.com/
0,2655 Seely Ave,San Jose,US,USD,127387108,"Cadence Design Systems, Inc. engages in the design and development of integrated circuits and electronic devices. The company is headquartered in San Jose, California and currently employs 7,500 full-time employees. The firm's product categories include Functional Verification, Digital integrated circuits (IC) Design and Signoff, Custom IC Design and Verification, System Interconnect and Analysis, and intellectual property (IP). Functional verification products are used to verify that the circuitry or the software designed will perform as intended. Digital IC design offerings are used to create representations of a digital circuit or an IC that can be verified for correctness prior to implementation. Custom IC design and verification offerings are used to create schematic and physical representations of circuits down to the transistor level for analog and memory designs. System Interconnect and Analysis offerings are used to develop printed circuit boards and IC packages. Design IP offerings consist of functional blocks, which customers integrate into their ICs for the development process.",8100,NASDAQ NMS - GLOBAL MARKET,Technology,Software & Services,Software,Information Technology,Application Software,1988-06-01,US1273871087,https://static.finnhub.io/logo/bbbf4280-80df-11ea-834e-00000000092a.png,29518.71,Software Publishers,Software Publishers,Information,Publishing Industries (except Internet),Cadence Design Systems Inc,14089431234,2302232,278.794,CALIFORNIA,CDNS,https://www.cadence.com/
0,55 Almaden Blvd Fl 6,San Jose,US,USD,98980L101,"Zoom Video Communications, Inc. engages in the provision of video-first communications platform. The company is headquartered in San Jose, California and currently employs 2,409 full-time employees. The company offers cloud-native platform, which unifies cloud video conferencing, online meetings, group messaging and a software-based conference room system, which enables users to easily experience Zoom Meetings in their physical meeting spaces. Its solution offers video, audio and screen-sharing experience across Windows, Mac, Linux, Android, BlackBerry, Zoom Rooms and H.323/Session Initiation Protocol room systems, such as Polycom and Cisco Tandberg. Its solutions include Meetings, Premium Audio, Business Instant Messaging (IM), Video Webinar, Zoom Rooms, H.323/SIP Connector and Developer Platform. Its cloud video conferencing solutions include full screen and gallery view, and dual stream for dual screen. Its security solutions include secure socket layer (SSL) encryption and role-based access control. The company offers its solutions to education, finance and government sectors.",2854,NASDAQ NMS - GLOBAL MARKET,Technology,Software & Services,Software,Information Technology,Application Software,2019-04-18,US98980L1017,https://static.finnhub.io/logo/6eed7476-80da-11ea-91d2-00000000092a.png,105204.5,Software Publishers,Software Publishers,Information,Publishing Industries (except Internet),Zoom Video Communications Inc,18887999666,BGSP7M9,284.42098,CALIFORNIA,ZM,https://www.zoom.us
0,110 W 44th St,New York City,US,USD,874054109,"Take-Two Interactive Software, Inc. engages in the development, publishing, and marketing of interactive software games. The company is headquartered in New York City, New York and currently employs 4,894 full-time employees. The firm develops and publishes products through its labels, Rockstar Games and 2K. The company operates through publishing segment. The company has a portfolio of software content for the hardware platforms in a range of genres, including action, adventure, family/casual, racing, role-playing, shooter, sports and strategy, which it distributes across the world. The firm's products are designed for console gaming systems, such as PlayStation 3 and PlayStation 4; Xbox 360 and Xbox One, and personal computers, including smartphones and tablets. Rockstar Games is the developer and publisher of Grand Theft Auto, as well as other franchises, including L.A. Noire, Max Payne, Midnight Club and Red Dead. 2K publishes owned and licensed titles across a range of genres. The company has internal development studios in Canada, China, Czech Republic, the United Kingdom and the United States.",5800,NASDAQ NMS - GLOBAL MARKET,Media,Media & Entertainment,Entertainment,Communication Services,Interactive Home Entertainment,1997-04-15,US8740541094,https://static.finnhub.io/logo/c1e64458-80e0-11ea-8873-00000000092a.png,18489.73,Software Publishers,Software Publishers,Information,Publishing Industries (except Internet),Take-Two Interactive Software Inc,16465362842,2122117,114.338838,NEW YORK,TTWO,http://www.take2games.com
0,1801 Augustine Cut off,Wilmington,US,USD,45337C102,"Incyte Corp. is a biopharmaceutical company, which engages in the discovery, development and commercialization of proprietary therapeutics. The company is headquartered in Wilmington, Delaware and currently employs 1,367 full-time employees. Its portfolio includes compounds in various stages, ranging from preclinical to late-stage development, and commercialized products, such as JAKAFI (ruxolitinib) and ICLUSIG (ponatinib). JAKAFI (ruxolitinib) is indicated for the treatment of patients with intermediate or high risk myelofibrosis (MF) and for the treatment of patients with polycythemia vera (PV) having had an inadequate response to or are intolerant of hydroxyurea. As of December 31, 2016, the Food and Drug Administration had granted JAKAFI orphan drug status for MF, PV and essential thrombocythemia. The primary target for ICLUSIG is B Cell Receptor-ABL, an abnormal tyrosine kinase that is expressed in chronic myeloid leukemia and Philadelphia-chromosome positive acute lymphoblastic leukemia. The firm also has a portfolio of selective janus associated kinases 1 (JAK1) inhibitors.",1456,NASDAQ NMS - GLOBAL MARKET,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Health Care,Biotechnology,1991-04-08,US45337C1027,https://static.finnhub.io/logo/275e6868-80e0-11ea-a3ff-00000000092a.png,19790.08,Scientific Research and Development Services,Research and Development in Biotechnology,"Professional, Scientific, and Technical Services","Professional, Scientific, and Technical Services",Incyte Corp,13024986700,2471950,218.699085,DELAWARE,INCY,https://www.incyte.com/
0,1 Ppg Pl,Pittsburgh,US,USD,500754106,"The Kraft Heinz Co. engages in the manufacture and market of food and beverage products. The company is headquartered in Pittsburgh, Pennsylvania and currently employs 38,000 full-time employees. The firm is engaged in the manufacturing and marketing of food and beverage products, including condiments and sauces, cheese and dairy, meals, meats, refreshment beverages, coffee and other grocery products. The firm's segments include the United States, Canada and Europe. The firm's remaining businesses are combined as Rest of World. The Rest of World consists of Latin America and Asia, Middle East and Africa (AMEA). The firm provides products for various occasions whether at home, in restaurants or on the go. The firm's brands include Heinz, Kraft, Oscar Mayer, Philadelphia, Planters, Velveeta, Lunchables, Maxwell House, Capri Sun, and Ore-Ida. The firm's products are sold through its own sales organizations and through independent brokers, agents and distributors to chain, wholesale, cooperative and independent grocery accounts, convenience stores, drug stores, value stores, bakeries and pharmacies.",37000,NASDAQ NMS - GLOBAL MARKET,Food Products,"Food, Beverage & Tobacco",Food Products,Consumer Staples,Packaged Foods & Meats,2015-07-06,US5007541064,,40919.71,Other Food Manufacturing,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing",Manufacturing,Food Manufacturing,Kraft Heinz Co,14124565700,BYRY499,1222.578592,PENNSYLVANIA,KHC,https://www.kraftheinzcompany.com/
0,200 Technology Sq,Cambridge,US,USD,60770K107,"Moderna, Inc. engages in the development of transformative medicines based on messenger ribonucleic acid (mRNA). The company is headquartered in Cambridge, Massachusetts and currently employs 760 full-time employees. The company has created a platform to improve the underlying pharmaceutical properties of our mRNA medicines. Its platform consists of three areas: mRNA technologies, delivery technologies, and manufacturing processes. The company is pursuing mRNA science to minimize the undesirable activation of the immune system by mRNA and to maximize the potency of mRNA once in the target cells. The company has advanced in parallel a diverse development pipeline of 21 programs, of which 10 have entered clinical studies and another three have open INDs. Its therapeutics and vaccine development programs span infectious diseases, oncology, cardiovascular diseases, and rare genetic diseases. The company has created six modalities prophylactic vaccines, cancer vaccines, intratumoral immmuno-oncology, localized regenerative therapeutics, systemic secreted therapeutics and systemic intracellular therapeutics.",830,NASDAQ NMS - GLOBAL MARKET,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Health Care,Biotechnology,2018-12-07,US60770K1079,https://static.finnhub.io/logo/a024deee-80da-11ea-9046-00000000092a.png,24701.14,Pharmaceutical and Medicine Manufacturing,Biological Product (except Diagnostic) Manufacturing,Manufacturing,Chemical Manufacturing,Moderna Inc,16177146500,BGSXTS3,394.586852,MASSACHUSETTS,MRNA,https://www.modernatx.com/
