accountName,statement,number
propertyPlantEquipment,bs,1
shortTermDebt,bs,1
longTermDebt,bs,1
accountsReceivables,bs,1
inventory,bs,1
longTermInvestments,bs,1
accountsPayable,bs,1
changeinCash,cf,1
changesinWorkingCapital,cf,1
foreignExchangeEffects,cf,1
depreciationAmortization,cf,1
capex,cf,1
cashTaxesPaid,cf,1
netCashFinancingActivities,cf,1
netInvestingCashFlow,cf,1
netOperatingCashFlow,cf,1
cashReceipts,cf,1
revenue,is,1
costOfGoodsSold,is,1
totalOperatingExpense,is,1
sgaExpense,is,1
researchDevelopment,is,1
operationsMaintenance,is,1
interestIncomeExpense,is,1
interestExpense,is,1
grossPremiumsEarned,is,1
netIncome,is,1
grossIncome,is,1
ebit,is,1
pretaxIncome,is,1
cashRatio,bf,1
currentRatio,bf,1
ebitPerShare,bf,1
eps,bf,1
grossMargin,bf,1
longtermDebtTotalAsset,bf,1
longtermDebtTotalCapital,bf,1
longtermDebtTotalEquity,bf,1
netDebtToTotalCapital,bf,1
netDebtToTotalEquity,bf,1
netMargin,bf,1
operatingMargin,bf,1
salesPerShare,bf,1
sgaToSale,bf,1
totalDebtToEquity,bf,1
totaDebtToTotalAsset,bf,1
